Origin Airport Code,Dest Airport Code,Fly Distance,Origin Latitude,Origin Longitude,Dest Latitude,Dest Longitude
ACY,ATL,679,39.452,-74.567,33.63,-84.442
ACY,BOS,274,39.452,-74.567,42.361,-71.01
ACY,FLL,977,39.452,-74.567,26.079,-80.162
ACY,MCO,852,39.452,-74.567,28.418,-81.324
ACY,MIA,998,39.452,-74.567,25.788,-80.317
ACY,TPA,913,39.452,-74.567,27.963,-82.54
AEX,ATL,500,31.335,-92.558,33.63,-84.442
AEX,CLT,722,31.335,-92.558,35.223,-80.954
AEX,DFW,285,31.335,-92.558,32.897,-97.022
AEX,IAH,190,31.335,-92.558,29.984,-95.361
AGS,ATL,143,33.365,-81.964,33.63,-84.442
AGS,AUS,949,33.365,-81.964,30.183,-97.68
AGS,BOS,861,33.365,-81.964,42.361,-71.01
AGS,CLT,140,33.365,-81.964,35.223,-80.954
AGS,DCA,468,33.365,-81.964,38.847,-77.035
AGS,DFW,874,33.365,-81.964,32.897,-97.022
AGS,DTW,615,33.365,-81.964,42.231,-85
AGS,LGA,678,33.365,-81.964,40.779,-73.88
AGS,MIA,531,33.365,-81.964,25.788,-80.317
AGS,ORD,677,33.365,-81.964,41.96,-87.932
AGS,PHL,583,33.365,-81.964,39.873,-75.227
ANC,ATL,3417,61.169,-150.028,33.63,-84.442
ANC,DEN,2405,61.169,-150.028,39.847,-104.656
ANC,DFW,3043,61.169,-150.028,32.897,-97.022
ANC,EWR,3370,61.169,-150.028,40.683,-74.169
ANC,IAH,3266,61.169,-150.028,29.984,-95.361
ANC,LAX,2345,61.169,-150.028,33.938,-118.387
ANC,MSP,2519,61.169,-150.028,44.885,-93.231
ANC,ORD,2846,61.169,-150.028,41.96,-87.932
ANC,SFO,2018,61.169,-150.028,37.62,-122.366
ANC,SLC,2125,61.169,-150.028,40.771,-111.965
ATL,ACY,679,33.63,-84.442,39.452,-74.567
ATL,AEX,500,33.63,-84.442,31.335,-92.558
ATL,AGS,143,33.63,-84.442,33.365,-81.964
ATL,ANC,3417,33.63,-84.442,61.169,-150.028
ATL,AUS,813,33.63,-84.442,30.183,-97.68
ATL,BNA,214,33.63,-84.442,36.111,-86.688
ATL,BOS,946,33.63,-84.442,42.361,-71.01
ATL,BTR,448,33.63,-84.442,30.538,-91.147
ATL,BWI,577,33.63,-84.442,39.173,-76.684
ATL,CAE,192,33.63,-84.442,33.942,-81.118
ATL,CLT,226,33.63,-84.442,35.223,-80.954
ATL,CMH,447,33.63,-84.442,39.991,-82.877
ATL,DCA,547,33.63,-84.442,38.847,-77.035
ATL,DEN,1199,33.63,-84.442,39.847,-104.656
ATL,DFW,731,33.63,-84.442,32.897,-97.022
ATL,DTW,594,33.63,-84.442,42.231,-85
ATL,ELP,1282,33.63,-84.442,31.812,-106.377
ATL,EWR,746,33.63,-84.442,40.683,-74.169
ATL,FLL,581,33.63,-84.442,26.079,-80.162
ATL,GRR,640,33.63,-84.442,42.882,-85.523
ATL,IAD,534,33.63,-84.442,38.935,-77.447
ATL,IAH,689,33.63,-84.442,29.984,-95.361
ATL,ICT,782,33.63,-84.442,37.648,-97.43
ATL,JAN,341,33.63,-84.442,32.32,-90.078
ATL,LAX,1947,33.63,-84.442,33.938,-118.387
ATL,LGA,762,33.63,-84.442,40.779,-73.88
ATL,MCI,692,33.63,-84.442,39.297,-94.731
ATL,MCO,404,33.63,-84.442,28.418,-81.324
ATL,MDW,591,33.63,-84.442,41.784,-87.755
ATL,MIA,594,33.63,-84.442,25.788,-80.317
ATL,MSP,907,33.63,-84.442,44.885,-93.231
ATL,ORD,606,33.63,-84.442,41.96,-87.932
ATL,PHL,666,33.63,-84.442,39.873,-75.227
ATL,PIT,526,33.63,-84.442,40.48459,-80.21448
ATL,PVD,903,33.63,-84.442,41.723,-71.432
ATL,RIC,481,33.63,-84.442,37.512,-77.323
ATL,SAN,1892,33.63,-84.442,32.734,-117.183
ATL,SAT,874,33.63,-84.442,29.544,-98.484
ATL,SAV,214,33.63,-84.442,32.131,-81.202
ATL,SFO,2139,33.63,-84.442,37.62,-122.366
ATL,SLC,1590,33.63,-84.442,40.771,-111.965
ATL,SMF,2092,33.63,-84.442,38.701,-121.595
ATL,STL,484,33.63,-84.442,38.752,-90.373
ATL,TPA,406,33.63,-84.442,27.963,-82.54
AUS,AGS,949,30.183,-97.68,33.365,-81.964
AUS,ATL,813,30.183,-97.68,33.63,-84.442
AUS,BNA,756,30.183,-97.68,36.111,-86.688
AUS,BOS,1698,30.183,-97.68,42.361,-71.01
AUS,BWI,1342,30.183,-97.68,39.173,-76.684
AUS,CLT,1032,30.183,-97.68,35.223,-80.954
AUS,CMH,1073,30.183,-97.68,39.991,-82.877
AUS,DCA,1315,30.183,-97.68,38.847,-77.035
AUS,DEN,775,30.183,-97.68,39.847,-104.656
AUS,DFW,190,30.183,-97.68,32.897,-97.022
AUS,DTW,1149,30.183,-97.68,42.231,-85
AUS,ELP,528,30.183,-97.68,31.812,-106.377
AUS,EWR,1504,30.183,-97.68,40.683,-74.169
AUS,FLL,1105,30.183,-97.68,26.079,-80.162
AUS,HRL,273,30.183,-97.68,26.23,-97.656
AUS,IAD,1297,30.183,-97.68,38.935,-77.447
AUS,IAH,140,30.183,-97.68,29.984,-95.361
AUS,LAX,1242,30.183,-97.68,33.938,-118.387
AUS,LBB,341,30.183,-97.68,33.666,-101.823
AUS,MCI,650,30.183,-97.68,39.297,-94.731
AUS,MCO,994,30.183,-97.68,28.418,-81.324
AUS,MDW,972,30.183,-97.68,41.784,-87.755
AUS,MIA,1103,30.183,-97.68,25.788,-80.317
AUS,MSP,1042,30.183,-97.68,44.885,-93.231
AUS,ORD,977,30.183,-97.68,41.96,-87.932
AUS,PHL,1430,30.183,-97.68,39.873,-75.227
AUS,PIT,1210,30.183,-97.68,40.48459,-80.21448
AUS,SAN,1164,30.183,-97.68,32.734,-117.183
AUS,SFO,1504,30.183,-97.68,37.62,-122.366
AUS,SLC,1086,30.183,-97.68,40.771,-111.965
AUS,SMF,1481,30.183,-97.68,38.701,-121.595
AUS,STL,721,30.183,-97.68,38.752,-90.373
AUS,TPA,928,30.183,-97.68,27.963,-82.54
BNA,ATL,214,36.111,-86.688,33.63,-84.442
BNA,AUS,756,36.111,-86.688,30.183,-97.68
BNA,BOS,942,36.111,-86.688,42.361,-71.01
BNA,BWI,587,36.111,-86.688,39.173,-76.684
BNA,CLT,328,36.111,-86.688,35.223,-80.954
BNA,CMH,337,36.111,-86.688,39.991,-82.877
BNA,DCA,562,36.111,-86.688,38.847,-77.035
BNA,DEN,1014,36.111,-86.688,39.847,-104.656
BNA,DFW,631,36.111,-86.688,32.897,-97.022
BNA,DTW,456,36.111,-86.688,42.231,-85
BNA,EWR,748,36.111,-86.688,40.683,-74.169
BNA,FLL,793,36.111,-86.688,26.079,-80.162
BNA,IAD,542,36.111,-86.688,38.935,-77.447
BNA,IAH,657,36.111,-86.688,29.984,-95.361
BNA,LAX,1797,36.111,-86.688,33.938,-118.387
BNA,LGA,764,36.111,-86.688,40.779,-73.88
BNA,MCI,491,36.111,-86.688,39.297,-94.731
BNA,MCO,616,36.111,-86.688,28.418,-81.324
BNA,MDW,395,36.111,-86.688,41.784,-87.755
BNA,MIA,806,36.111,-86.688,25.788,-80.317
BNA,MSP,695,36.111,-86.688,44.885,-93.231
BNA,ORD,409,36.111,-86.688,41.96,-87.932
BNA,PHL,675,36.111,-86.688,39.873,-75.227
BNA,PIT,462,36.111,-86.688,40.48459,-80.21448
BNA,SAN,1751,36.111,-86.688,32.734,-117.183
BNA,SAT,822,36.111,-86.688,29.544,-98.484
BNA,SAV,417,36.111,-86.688,32.131,-81.202
BNA,SFO,1969,36.111,-86.688,37.62,-122.366
BNA,SLC,1404,36.111,-86.688,40.771,-111.965
BNA,SMF,1917,36.111,-86.688,38.701,-121.595
BNA,STL,272,36.111,-86.688,38.752,-90.373
BNA,TPA,612,36.111,-86.688,27.963,-82.54
BOS,ACY,274,42.361,-71.01,39.452,-74.567
BOS,AGS,861,42.361,-71.01,33.365,-81.964
BOS,ATL,946,42.361,-71.01,33.63,-84.442
BOS,AUS,1698,42.361,-71.01,30.183,-97.68
BOS,BNA,942,42.361,-71.01,36.111,-86.688
BOS,BWI,369,42.361,-71.01,39.173,-76.684
BOS,CLT,728,42.361,-71.01,35.223,-80.954
BOS,CMH,640,42.361,-71.01,39.991,-82.877
BOS,DCA,399,42.361,-71.01,38.847,-77.035
BOS,DEN,1754,42.361,-71.01,39.847,-104.656
BOS,DFW,1562,42.361,-71.01,32.897,-97.022
BOS,DTW,632,42.361,-71.01,42.231,-85
BOS,EWR,200,42.361,-71.01,40.683,-74.169
BOS,FLL,1237,42.361,-71.01,26.079,-80.162
BOS,IAD,413,42.361,-71.01,38.935,-77.447
BOS,IAH,1597,42.361,-71.01,29.984,-95.361
BOS,LAX,2611,42.361,-71.01,33.938,-118.387
BOS,LGA,184,42.361,-71.01,40.779,-73.88
BOS,MCI,1256,42.361,-71.01,39.297,-94.731
BOS,MCO,1121,42.361,-71.01,28.418,-81.324
BOS,MDW,861,42.361,-71.01,41.784,-87.755
BOS,MIA,1258,42.361,-71.01,25.788,-80.317
BOS,MSP,1124,42.361,-71.01,44.885,-93.231
BOS,ORD,867,42.361,-71.01,41.96,-87.932
BOS,PHL,280,42.361,-71.01,39.873,-75.227
BOS,PIT,496,42.361,-71.01,40.48459,-80.21448
BOS,RIC,474,42.361,-71.01,37.512,-77.323
BOS,SAN,2588,42.361,-71.01,32.734,-117.183
BOS,SAT,1764,42.361,-71.01,29.544,-98.484
BOS,SAV,901,42.361,-71.01,32.131,-81.202
BOS,SFO,2704,42.361,-71.01,37.62,-122.366
BOS,SLC,2105,42.361,-71.01,40.771,-111.965
BOS,SMF,2636,42.361,-71.01,38.701,-121.595
BOS,STL,1047,42.361,-71.01,38.752,-90.373
BOS,TPA,1185,42.361,-71.01,27.963,-82.54
BTR,ATL,448,30.538,-91.147,33.63,-84.442
BTR,CLT,675,30.538,-91.147,35.223,-80.954
BTR,DCA,985,30.538,-91.147,38.847,-77.035
BTR,DFW,383,30.538,-91.147,32.897,-97.022
BTR,IAH,253,30.538,-91.147,29.984,-95.361
BTR,MCO,610,30.538,-91.147,28.418,-81.324
BWI,ATL,577,39.173,-76.684,33.63,-84.442
BWI,AUS,1342,39.173,-76.684,30.183,-97.68
BWI,BNA,587,39.173,-76.684,36.111,-86.688
BWI,BOS,369,39.173,-76.684,42.361,-71.01
BWI,CLT,361,39.173,-76.684,35.223,-80.954
BWI,CMH,337,39.173,-76.684,39.991,-82.877
BWI,DEN,1491,39.173,-76.684,39.847,-104.656
BWI,DFW,1217,39.173,-76.684,32.897,-97.022
BWI,DTW,409,39.173,-76.684,42.231,-85
BWI,FLL,925,39.173,-76.684,26.079,-80.162
BWI,GRR,528,39.173,-76.684,42.882,-85.523
BWI,IAH,1235,39.173,-76.684,29.984,-95.361
BWI,JAN,888,39.173,-76.684,32.32,-90.078
BWI,LAX,2329,39.173,-76.684,33.938,-118.387
BWI,LGA,185,39.173,-76.684,40.779,-73.88
BWI,MCI,967,39.173,-76.684,39.297,-94.731
BWI,MCO,787,39.173,-76.684,28.418,-81.324
BWI,MDW,611,39.173,-76.684,41.784,-87.755
BWI,MIA,946,39.173,-76.684,25.788,-80.317
BWI,MSP,936,39.173,-76.684,44.885,-93.231
BWI,ORD,621.6770357,39.173,-76.684,41.96,-87.932
BWI,PIT,210,39.173,-76.684,40.48459,-80.21448
BWI,PVD,327,39.173,-76.684,41.723,-71.432
BWI,SAN,2295,39.173,-76.684,32.734,-117.183
BWI,SAT,1407,39.173,-76.684,29.544,-98.484
BWI,SAV,549,39.173,-76.684,32.131,-81.202
BWI,SFO,2457,39.173,-76.684,37.62,-122.366
BWI,SLC,1865,39.173,-76.684,40.771,-111.965
BWI,STL,738,39.173,-76.684,38.752,-90.373
BWI,TPA,842,39.173,-76.684,27.963,-82.54
CAE,ATL,192,33.942,-81.118,33.63,-84.442
CAE,CLT,88,33.942,-81.118,35.223,-80.954
CAE,DCA,408,33.942,-81.118,38.847,-77.035
CAE,DFW,922,33.942,-81.118,32.897,-97.022
CAE,IAD,401,33.942,-81.118,38.935,-77.447
CAE,LGA,617,33.942,-81.118,40.779,-73.88
CAE,MIA,563,33.942,-81.118,25.788,-80.317
CAE,ORD,666,33.942,-81.118,41.96,-87.932
CAE,PHL,523,33.942,-81.118,39.873,-75.227
CLT,AEX,722,35.223,-80.954,31.335,-92.558
CLT,AGS,140,35.223,-80.954,33.365,-81.964
CLT,ATL,226,35.223,-80.954,33.63,-84.442
CLT,AUS,1032,35.223,-80.954,30.183,-97.68
CLT,BNA,328,35.223,-80.954,36.111,-86.688
CLT,BOS,728,35.223,-80.954,42.361,-71.01
CLT,BTR,675,35.223,-80.954,30.538,-91.147
CLT,BWI,361,35.223,-80.954,39.173,-76.684
CLT,CAE,88,35.223,-80.954,33.942,-81.118
CLT,CMH,347,35.223,-80.954,39.991,-82.877
CLT,DCA,331,35.223,-80.954,38.847,-77.035
